waveform	[0]		[1]	
t0	14.09.2026  14:17:40		14.09.2026  14:17:40	
delta t	5,000000E-5		5,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
14.09.2026  14:17:40	1,149407E+0	14.09.2026  14:17:40	-2,365791E+0
14.09.2026  14:17:40	1,147796E+0	14.09.2026  14:17:40	-2,381251E+0
14.09.2026  14:17:40	1,146830E+0	14.09.2026  14:17:40	-2,402831E+0
14.09.2026  14:17:40	1,145864E+0	14.09.2026  14:17:40	-2,420223E+0
14.09.2026  14:17:40	1,144254E+0	14.09.2026  14:17:40	-2,439548E+0
14.09.2026  14:17:40	1,142965E+0	14.09.2026  14:17:40	-2,457906E+0
14.09.2026  14:17:40	1,141999E+0	14.09.2026  14:17:40	-2,473366E+0
14.09.2026  14:17:40	1,140711E+0	14.09.2026  14:17:40	-2,490437E+0
14.09.2026  14:17:40	1,139744E+0	14.09.2026  14:17:40	-2,506541E+0
14.09.2026  14:17:40	1,137490E+0	14.09.2026  14:17:40	-2,515881E+0
14.09.2026  14:17:40	1,136524E+0	14.09.2026  14:17:40	-2,534884E+0
14.09.2026  14:17:40	1,135557E+0	14.09.2026  14:17:40	-2,550022E+0
14.09.2026  14:17:40	1,133947E+0	14.09.2026  14:17:40	-2,563549E+0
14.09.2026  14:17:40	1,132981E+0	14.09.2026  14:17:40	-2,574822E+0
14.09.2026  14:17:40	1,131048E+0	14.09.2026  14:17:40	-2,585451E+0
14.09.2026  14:17:40	1,130082E+0	14.09.2026  14:17:40	-2,599622E+0
14.09.2026  14:17:40	1,128794E+0	14.09.2026  14:17:40	-2,607030E+0
14.09.2026  14:17:40	1,128149E+0	14.09.2026  14:17:40	-2,623134E+0
14.09.2026  14:17:40	1,126539E+0	14.09.2026  14:17:40	-2,626999E+0
14.09.2026  14:17:40	1,125573E+0	14.09.2026  14:17:40	-2,641815E+0
14.09.2026  14:17:40	1,124607E+0	14.09.2026  14:17:40	-2,646968E+0
14.09.2026  14:17:40	1,122352E+0	14.09.2026  14:17:40	-2,657597E+0
14.09.2026  14:17:40	1,121386E+0	14.09.2026  14:17:40	-2,661784E+0
14.09.2026  14:17:40	1,120097E+0	14.09.2026  14:17:40	-2,670480E+0
14.09.2026  14:17:40	1,118809E+0	14.09.2026  14:17:40	-2,674667E+0
14.09.2026  14:17:40	1,118165E+0	14.09.2026  14:17:40	-2,684008E+0
14.09.2026  14:17:40	1,116877E+0	14.09.2026  14:17:40	-2,688195E+0
14.09.2026  14:17:40	1,114944E+0	14.09.2026  14:17:40	-2,690771E+0
14.09.2026  14:17:40	1,113978E+0	14.09.2026  14:17:40	-2,698179E+0
14.09.2026  14:17:40	1,113334E+0	14.09.2026  14:17:40	-2,701078E+0
