waveform	[0]		[1]	
t0	14.09.2026  14:38:36		14.09.2026  14:38:36	
delta t	5,000000E-5		5,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
14.09.2026  14:38:36	1,158169E+0	14.09.2026  14:38:36	-1,593092E+0
14.09.2026  14:38:36	1,156559E+0	14.09.2026  14:38:36	-1,613210E+0
14.09.2026  14:38:36	1,155433E+0	14.09.2026  14:38:36	-1,635421E+0
14.09.2026  14:38:36	1,153984E+0	14.09.2026  14:38:36	-1,652321E+0
14.09.2026  14:38:36	1,153018E+0	14.09.2026  14:38:36	-1,674371E+0
14.09.2026  14:38:36	1,151731E+0	14.09.2026  14:38:36	-1,697709E+0
14.09.2026  14:38:36	1,150443E+0	14.09.2026  14:38:36	-1,720241E+0
14.09.2026  14:38:36	1,149156E+0	14.09.2026  14:38:36	-1,736336E+0
14.09.2026  14:38:36	1,148190E+0	14.09.2026  14:38:36	-1,754685E+0
14.09.2026  14:38:36	1,147063E+0	14.09.2026  14:38:36	-1,774803E+0
14.09.2026  14:38:36	1,145454E+0	14.09.2026  14:38:36	-1,788162E+0
14.09.2026  14:38:36	1,144488E+0	14.09.2026  14:38:36	-1,810856E+0
14.09.2026  14:38:36	1,143200E+0	14.09.2026  14:38:36	-1,827594E+0
14.09.2026  14:38:36	1,142074E+0	14.09.2026  14:38:36	-1,843689E+0
14.09.2026  14:38:36	1,140786E+0	14.09.2026  14:38:36	-1,856082E+0
14.09.2026  14:38:36	1,139499E+0	14.09.2026  14:38:36	-1,873626E+0
14.09.2026  14:38:36	1,138050E+0	14.09.2026  14:38:36	-1,892940E+0
14.09.2026  14:38:36	1,137406E+0	14.09.2026  14:38:36	-1,904367E+0
14.09.2026  14:38:36	1,136280E+0	14.09.2026  14:38:36	-1,921910E+0
14.09.2026  14:38:36	1,135153E+0	14.09.2026  14:38:36	-1,936879E+0
14.09.2026  14:38:36	1,134509E+0	14.09.2026  14:38:36	-1,947823E+0
14.09.2026  14:38:36	1,133061E+0	14.09.2026  14:38:36	-1,958929E+0
14.09.2026  14:38:36	1,132578E+0	14.09.2026  14:38:36	-1,973736E+0
14.09.2026  14:38:36	1,131129E+0	14.09.2026  14:38:36	-1,986129E+0
14.09.2026  14:38:36	1,130646E+0	14.09.2026  14:38:36	-1,995625E+0
14.09.2026  14:38:36	1,130003E+0	14.09.2026  14:38:36	-2,004960E+0
14.09.2026  14:38:36	1,129198E+0	14.09.2026  14:38:36	-2,017192E+0
14.09.2026  14:38:36	1,128554E+0	14.09.2026  14:38:36	-2,026205E+0
14.09.2026  14:38:36	1,127910E+0	14.09.2026  14:38:36	-2,034897E+0
14.09.2026  14:38:36	1,127588E+0	14.09.2026  14:38:36	-2,043427E+0
14.09.2026  14:38:36	1,127588E+0	14.09.2026  14:38:36	-2,052762E+0
14.09.2026  14:38:36	1,127106E+0	14.09.2026  14:38:36	-2,060166E+0
14.09.2026  14:38:36	1,127106E+0	14.09.2026  14:38:36	-2,067891E+0
14.09.2026  14:38:36	1,126945E+0	14.09.2026  14:38:36	-2,075134E+0
14.09.2026  14:38:36	1,127106E+0	14.09.2026  14:38:36	-2,078997E+0
14.09.2026  14:38:36	1,127267E+0	14.09.2026  14:38:36	-2,087849E+0
14.09.2026  14:38:36	1,127267E+0	14.09.2026  14:38:36	-2,092999E+0
14.09.2026  14:38:36	1,127749E+0	14.09.2026  14:38:36	-2,095091E+0
14.09.2026  14:38:36	1,127427E+0	14.09.2026  14:38:36	-2,101529E+0
14.09.2026  14:38:36	1,128071E+0	14.09.2026  14:38:36	-2,105392E+0
14.09.2026  14:38:36	1,128715E+0	14.09.2026  14:38:36	-2,108933E+0
14.09.2026  14:38:36	1,129037E+0	14.09.2026  14:38:36	-2,114888E+0
14.09.2026  14:38:36	1,129681E+0	14.09.2026  14:38:36	-2,116337E+0
14.09.2026  14:38:36	1,130164E+0	14.09.2026  14:38:36	-2,120682E+0
14.09.2026  14:38:36	1,130807E+0	14.09.2026  14:38:36	-2,122614E+0
14.09.2026  14:38:36	1,131290E+0	14.09.2026  14:38:36	-2,123418E+0
14.09.2026  14:38:36	1,131773E+0	14.09.2026  14:38:36	-2,125672E+0
14.09.2026  14:38:36	1,132256E+0	14.09.2026  14:38:36	-2,128408E+0
14.09.2026  14:38:36	1,133383E+0	14.09.2026  14:38:36	-2,130661E+0
14.09.2026  14:38:36	1,133704E+0	14.09.2026  14:38:36	-2,104909E+0
14.09.2026  14:38:36	1,133061E+0	14.09.2026  14:38:36	-2,107163E+0
14.09.2026  14:38:36	1,133222E+0	14.09.2026  14:38:36	-2,103300E+0
14.09.2026  14:38:36	1,133061E+0	14.09.2026  14:38:36	-2,100886E+0
14.09.2026  14:38:36	1,132900E+0	14.09.2026  14:38:36	-2,096379E+0
14.09.2026  14:38:36	1,132256E+0	14.09.2026  14:38:36	-2,089458E+0
14.09.2026  14:38:36	1,132417E+0	14.09.2026  14:38:36	-2,086722E+0
14.09.2026  14:38:36	1,131934E+0	14.09.2026  14:38:36	-2,080284E+0
14.09.2026  14:38:36	1,131129E+0	14.09.2026  14:38:36	-2,075456E+0
14.09.2026  14:38:36	1,130646E+0	14.09.2026  14:38:36	-2,068213E+0
14.09.2026  14:38:36	1,130164E+0	14.09.2026  14:38:36	-2,060809E+0
14.09.2026  14:38:36	1,129681E+0	14.09.2026  14:38:36	-2,055981E+0
14.09.2026  14:38:36	1,128876E+0	14.09.2026  14:38:36	-2,049543E+0
14.09.2026  14:38:36	1,127749E+0	14.09.2026  14:38:36	-2,040047E+0
14.09.2026  14:38:36	1,127427E+0	14.09.2026  14:38:36	-2,032643E+0
14.09.2026  14:38:36	1,125979E+0	14.09.2026  14:38:36	-2,021055E+0
14.09.2026  14:38:36	1,125174E+0	14.09.2026  14:38:36	-2,016709E+0
14.09.2026  14:38:36	1,124048E+0	14.09.2026  14:38:36	-2,005926E+0
14.09.2026  14:38:36	1,123082E+0	14.09.2026  14:38:36	-1,995786E+0
14.09.2026  14:38:36	1,121955E+0	14.09.2026  14:38:36	-1,982910E+0
14.09.2026  14:38:36	1,120668E+0	14.09.2026  14:38:36	-1,973736E+0
14.09.2026  14:38:36	1,119702E+0	14.09.2026  14:38:36	-1,961343E+0
14.09.2026  14:38:36	1,118736E+0	14.09.2026  14:38:36	-1,947501E+0
14.09.2026  14:38:36	1,117127E+0	14.09.2026  14:38:36	-1,938971E+0
14.09.2026  14:38:36	1,116000E+0	14.09.2026  14:38:36	-1,922071E+0
14.09.2026  14:38:36	1,115034E+0	14.09.2026  14:38:36	-1,914668E+0
14.09.2026  14:38:36	1,113586E+0	14.09.2026  14:38:36	-1,895676E+0
14.09.2026  14:38:36	1,112137E+0	14.09.2026  14:38:36	-1,878937E+0
14.09.2026  14:38:36	1,110850E+0	14.09.2026  14:38:36	-1,866705E+0
14.09.2026  14:38:36	1,109723E+0	14.09.2026  14:38:36	-1,847713E+0
14.09.2026  14:38:36	1,108435E+0	14.09.2026  14:38:36	-1,833549E+0
14.09.2026  14:38:36	1,107309E+0	14.09.2026  14:38:36	-1,813753E+0
14.09.2026  14:38:36	1,105860E+0	14.09.2026  14:38:36	-1,798785E+0
14.09.2026  14:38:36	1,104734E+0	14.09.2026  14:38:36	-1,785748E+0
14.09.2026  14:38:36	1,103768E+0	14.09.2026  14:38:36	-1,765146E+0
14.09.2026  14:38:36	1,101997E+0	14.09.2026  14:38:36	-1,747925E+0
14.09.2026  14:38:36	1,100871E+0	14.09.2026  14:38:36	-1,727806E+0
14.09.2026  14:38:36	1,099744E+0	14.09.2026  14:38:36	-1,705917E+0
14.09.2026  14:38:36	1,098296E+0	14.09.2026  14:38:36	-1,682418E+0
14.09.2026  14:38:36	1,096847E+0	14.09.2026  14:38:36	-1,669704E+0
14.09.2026  14:38:36	1,095881E+0	14.09.2026  14:38:36	-1,645561E+0
14.09.2026  14:38:36	1,094433E+0	14.09.2026  14:38:36	-1,623350E+0
14.09.2026  14:38:36	1,092984E+0	14.09.2026  14:38:36	-1,602427E+0
14.09.2026  14:38:36	1,092341E+0	14.09.2026  14:38:36	-1,581825E+0
14.09.2026  14:38:36	1,091053E+0	14.09.2026  14:38:36	-1,558166E+0
14.09.2026  14:38:36	1,089765E+0	14.09.2026  14:38:36	-1,539335E+0
14.09.2026  14:38:36	1,088478E+0	14.09.2026  14:38:36	-1,513744E+0
14.09.2026  14:38:36	1,087351E+0	14.09.2026  14:38:36	-1,493143E+0
14.09.2026  14:38:36	1,086224E+0	14.09.2026  14:38:36	-1,463689E+0
14.09.2026  14:38:36	1,084937E+0	14.09.2026  14:38:36	-1,445824E+0
14.09.2026  14:38:36	1,083649E+0	14.09.2026  14:38:36	-1,414117E+0
14.09.2026  14:38:36	1,082362E+0	14.09.2026  14:38:36	-1,394803E+0
14.09.2026  14:38:36	1,081235E+0	14.09.2026  14:38:36	-1,373719E+0
14.09.2026  14:38:36	1,080108E+0	14.09.2026  14:38:36	-1,348772E+0
14.09.2026  14:38:36	1,079143E+0	14.09.2026  14:38:36	-1,324951E+0
14.09.2026  14:38:36	1,077694E+0	14.09.2026  14:38:36	-1,287289E+0
14.09.2026  14:38:36	1,076568E+0	14.09.2026  14:38:36	-1,275862E+0
14.09.2026  14:38:36	1,075119E+0	14.09.2026  14:38:36	-1,233854E+0
14.09.2026  14:38:36	1,074153E+0	14.09.2026  14:38:36	-1,228060E+0
14.09.2026  14:38:36	1,072866E+0	14.09.2026  14:38:36	-1,193134E+0
14.09.2026  14:38:36	1,071900E+0	14.09.2026  14:38:36	-1,169636E+0
14.09.2026  14:38:36	1,070612E+0	14.09.2026  14:38:36	-1,144045E+0
14.09.2026  14:38:36	1,069647E+0	14.09.2026  14:38:36	-1,115879E+0
14.09.2026  14:38:36	1,068359E+0	14.09.2026  14:38:36	-1,089644E+0
14.09.2026  14:38:36	1,067393E+0	14.09.2026  14:38:36	-1,062283E+0
14.09.2026  14:38:36	1,065784E+0	14.09.2026  14:38:36	-1,034439E+0
14.09.2026  14:38:36	1,064979E+0	14.09.2026  14:38:36	-1,009813E+0
14.09.2026  14:38:36	1,063853E+0	14.09.2026  14:38:36	-9,785893E-1
14.09.2026  14:38:36	1,062404E+0	14.09.2026  14:38:36	-9,480090E-1
14.09.2026  14:38:36	1,061277E+0	14.09.2026  14:38:36	-9,238667E-1
14.09.2026  14:38:36	1,060151E+0	14.09.2026  14:38:36	-8,944130E-1
14.09.2026  14:38:36	1,059346E+0	14.09.2026  14:38:36	-8,672127E-1
14.09.2026  14:38:36	1,057897E+0	14.09.2026  14:38:36	-8,400123E-1
14.09.2026  14:38:36	1,056771E+0	14.09.2026  14:38:36	-8,081445E-1
14.09.2026  14:38:36	1,055483E+0	14.09.2026  14:38:36	-7,785299E-1
14.09.2026  14:38:36	1,054517E+0	14.09.2026  14:38:36	-7,535828E-1
14.09.2026  14:38:36	1,053391E+0	14.09.2026  14:38:36	-7,231635E-1
14.09.2026  14:38:36	1,052264E+0	14.09.2026  14:38:36	-6,863062E-1
14.09.2026  14:38:36	1,050816E+0	14.09.2026  14:38:36	-6,660267E-1
14.09.2026  14:38:36	1,049850E+0	14.09.2026  14:38:36	-6,376997E-1
14.09.2026  14:38:36	1,048884E+0	14.09.2026  14:38:36	-6,080851E-1
14.09.2026  14:38:36	1,047758E+0	14.09.2026  14:38:36	-5,731592E-1
