waveform	[0]		[1]	
t0	14.09.2026  14:08:56		14.09.2026  14:08:56	
delta t	0,000100		0,000100	

time[0]	Y[0]	time[1]	Y[1]
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,603809E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-2,624423E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-2,653410E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,670802E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,686584E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,701078E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,712029E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,723946E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-2,732642E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,740694E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-2,744881E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,748746E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,757120E+0
14.09.2026  14:08:56	1,507678E-3	14.09.2026  14:08:56	-2,684330E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,667582E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-2,648901E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,628932E+0
14.09.2026  14:08:56	-1,391056E-3	14.09.2026  14:08:56	-2,606064E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,579009E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,553565E+0
14.09.2026  14:08:56	-7,468929E-4	14.09.2026  14:08:56	-2,524899E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,496234E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-2,462738E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,425698E+0
14.09.2026  14:08:56	-7,468929E-4	14.09.2026  14:08:56	-2,389625E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,346144E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,303307E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,257894E+0
14.09.2026  14:08:56	-1,713138E-3	14.09.2026  14:08:56	-2,212802E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-2,166101E+0
14.09.2026  14:08:56	-2,357301E-3	14.09.2026  14:08:56	-2,113601E+0
14.09.2026  14:08:56	-7,468929E-4	14.09.2026  14:08:56	-2,059170E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-2,014400E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,961579E+0
14.09.2026  14:08:56	-1,068975E-3	14.09.2026  14:08:56	-1,905537E+0
14.09.2026  14:08:56	-2,035219E-3	14.09.2026  14:08:56	-1,842087E+0
