waveform	[0]		[1]	
t0	14.09.2026  14:37:29		14.09.2026  14:37:29	
delta t	5,000000E-5		5,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
14.09.2026  14:37:29	-3,422655E-4	14.09.2026  14:37:29	3,559986E-1
14.09.2026  14:37:29	-6,641632E-4	14.09.2026  14:37:29	3,320172E-1
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	2,949990E-1
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	2,647406E-1
14.09.2026  14:37:29	-8,251121E-4	14.09.2026  14:37:29	2,331946E-1
14.09.2026  14:37:29	-6,641632E-4	14.09.2026  14:37:29	2,045457E-1
14.09.2026  14:37:29	-6,641632E-4	14.09.2026  14:37:29	1,710683E-1
14.09.2026  14:37:29	-6,641632E-4	14.09.2026  14:37:29	1,393614E-1
14.09.2026  14:37:29	-9,860610E-4	14.09.2026  14:37:29	1,060450E-1
14.09.2026  14:37:29	-8,251121E-4	14.09.2026  14:37:29	7,948838E-2
14.09.2026  14:37:29	-9,860610E-4	14.09.2026  14:37:29	4,874715E-2
14.09.2026  14:37:29	-9,860610E-4	14.09.2026  14:37:29	1,752306E-2
14.09.2026  14:37:29	-8,251121E-4	14.09.2026  14:37:29	-1,273533E-2
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	-4,428131E-2
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	-7,679298E-2
14.09.2026  14:37:29	-8,251121E-4	14.09.2026  14:37:29	-1,033495E-1
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	-1,406897E-1
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	-1,685338E-1
14.09.2026  14:37:29	-5,032143E-4	14.09.2026  14:37:29	-2,007236E-1
14.09.2026  14:37:29	-3,422655E-4	14.09.2026  14:37:29	-2,267973E-1
14.09.2026  14:37:29	-3,422655E-4	14.09.2026  14:37:29	-2,559291E-1
14.09.2026  14:37:29	1,405812E-4	14.09.2026  14:37:29	-2,879579E-1
14.09.2026  14:37:29	-2,036769E-5	14.09.2026  14:37:29	-3,201477E-1
14.09.2026  14:37:29	-2,036769E-5	14.09.2026  14:37:29	-3,483137E-1
14.09.2026  14:37:29	3,015301E-4	14.09.2026  14:37:29	-3,779283E-1
14.09.2026  14:37:29	4,624790E-4	14.09.2026  14:37:29	-4,088305E-1
14.09.2026  14:37:29	4,624790E-4	14.09.2026  14:37:29	-4,397326E-1
14.09.2026  14:37:29	7,843767E-4	14.09.2026  14:37:29	-4,699910E-1
14.09.2026  14:37:29	1,428172E-3	14.09.2026  14:37:29	-4,978352E-1
14.09.2026  14:37:29	1,750070E-3	14.09.2026  14:37:29	-5,285764E-1
14.09.2026  14:37:29	2,876712E-3	14.09.2026  14:37:29	-5,589957E-1
14.09.2026  14:37:29	4,647150E-3	14.09.2026  14:37:29	-5,898979E-1
14.09.2026  14:37:29	7,061383E-3	14.09.2026  14:37:29	-6,195125E-1
14.09.2026  14:37:29	9,636565E-3	14.09.2026  14:37:29	-6,460690E-1
14.09.2026  14:37:29	1,398219E-2	14.09.2026  14:37:29	-6,789026E-1
14.09.2026  14:37:29	1,913255E-2	14.09.2026  14:37:29	-7,044934E-1
14.09.2026  14:37:29	2,669715E-2	14.09.2026  14:37:29	-7,365223E-1
14.09.2026  14:37:29	3,619313E-2	14.09.2026  14:37:29	-7,656540E-1
14.09.2026  14:37:29	4,842525E-2	14.09.2026  14:37:29	-7,930153E-1
14.09.2026  14:37:29	6,274970E-2	14.09.2026  14:37:29	-8,229518E-1
